logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	significance
-3.12034109529315	4.16884954092989	-5.95081567655361	0.000185588543041032	0.0398078394062256	1.057890600626	ENSG00000115232	Downregulated in COVID
1.8788876068203	4.03401036136596	5.86796207880625	0.000206274150757826	0.0406186822118691	1.05227613714657	ENSG00000166681	Upregulated in COVID
1.18800625452235	9.54602391252123	5.84169364132368	0.000213343233453958	0.0409724362914787	1.03943283074119	ENSG00000170458	Upregulated in COVID
-1.2377936529054	5.18214541225059	-5.80264417906427	0.000224340690600495	0.0412952728560642	1.01409746658239	ENSG00000170852	Downregulated in COVID
-1.71382620444785	5.24891520988884	-5.79526885636955	0.000226485828019669	0.0412952728560642	1.00621300439749	ENSG00000163625	Downregulated in COVID
1.07890443539359	7.04442411135179	5.81823240084385	0.000219878757282961	0.0412952728560642	0.99898989151021	ENSG00000101162	Upregulated in COVID
1.64494693737922	4.67820023605199	5.78909917746186	0.000228297342865873	0.0412952728560642	0.99827477517525	ENSG00000278828	Upregulated in COVID
1.14468607827635	6.42782277908088	5.81423809922586	0.0002210128549694	0.0412952728560642	0.997963043704476	ENSG00000128011	Upregulated in COVID
-1.48108754841052	6.33941203619323	-5.73426306069959	0.000245104136541554	0.042540717294934	0.905253693630218	ENSG00000012660	Downregulated in COVID
-1.93614178868549	5.4792314646067	-5.70848141489539	0.000253464139932496	0.042540717294934	0.896464662047105	ENSG00000163694	Downregulated in COVID
1.03227995994818	6.87421767094451	5.72793171307355	0.000247129170190729	0.042540717294934	0.88319604441805	ENSG00000177191	Upregulated in COVID
1.08097140629293	6.78763869420961	5.71179029610065	0.000252374163240551	0.042540717294934	0.862900699216717	ENSG00000136305	Upregulated in COVID
2.58651372978619	3.11929077973781	6.04039334925212	0.000165722046298587	0.0398078394062256	0.857556955146572	ENSG00000129354	Upregulated in COVID
2.33392262369239	4.32407634152641	5.68832602638126	0.000260214369045727	0.042540717294934	0.856416746441462	ENSG00000166091	Upregulated in COVID
1.08773344768739	6.58889251309798	5.69287951091629	0.000258672553273853	0.042540717294934	0.839916705646665	ENSG00000178789	Upregulated in COVID
2.92527602452812	3.84525607418407	5.72688248486327	0.000247466501224589	0.042540717294934	0.806697508770195	ENSG00000180767	Upregulated in COVID
-1.10443631195147	6.65649622990012	-5.66172413832741	0.000269422590377801	0.042540717294934	0.803045428372225	ENSG00000134954	Downregulated in COVID
-1.77065729303244	4.66417702767311	-5.62912545625388	0.000281189439873067	0.042540717294934	0.799455664136199	ENSG00000113441	Downregulated in COVID
-1.92962491132321	4.73918484106946	-5.62359599592245	0.000283239852351345	0.042540717294934	0.792855493213288	ENSG00000275052	Downregulated in COVID
2.11560516373828	5.5717378150108	5.6294377613852	0.000281074111401565	0.042540717294934	0.790388414261893	ENSG00000204420	Upregulated in COVID
-1.75528247150331	4.39132956550535	-5.62717875032307	0.000281909475304914	0.042540717294934	0.787328861032206	ENSG00000117500	Downregulated in COVID
-1.48674038747024	5.97011586373314	-5.62018587506828	0.000284512425784135	0.042540717294934	0.767246282010856	ENSG00000083799	Downregulated in COVID
-2.33890406015333	5.52940346433991	-5.59651518769193	0.000293517751266802	0.042540717294934	0.758108529293997	ENSG00000148110	Downregulated in COVID
-2.43840467309885	4.42733659071668	-5.61217882024658	0.000287524797972825	0.042540717294934	0.756982187836514	ENSG00000144802	Downregulated in COVID
1.66559554312882	3.85393321900169	5.62223221738626	0.000283748041900815	0.042540717294934	0.75481316455296	ENSG00000234975	Upregulated in COVID
-2.78062258917864	4.10013251810372	-5.65747010202711	0.000270927493366071	0.042540717294934	0.751066518782832	ENSG00000180776	Downregulated in COVID
-2.1409404510218	3.68588830495562	-5.64728340740984	0.000274568161459985	0.042540717294934	0.70726709135499	ENSG00000197601	Downregulated in COVID
-1.48821836845648	7.06806985363655	-5.57824664658229	0.000300678242986799	0.0429114747514005	0.693002013338866	ENSG00000106780	Downregulated in COVID
2.72474210585146	3.89504266473759	5.59180621314712	0.000295345684485271	0.042540717294934	0.688172730024841	ENSG00000179750	Upregulated in COVID
-1.82495289403787	4.89545607546832	-5.52371777606743	0.000323196072961365	0.0441020886928684	0.670851743821386	ENSG00000087253	Downregulated in COVID
5.12405761386285	4.76588136133647	5.60426719883563	0.000290535122613516	0.042540717294934	0.642807602654768	ENSG00000124102	Upregulated in COVID
1.36575801754261	6.93313358676826	5.54109538304324	0.00031582846130436	0.0441020886928684	0.640786756560445	ENSG00000196502	Upregulated in COVID
1.81343836194643	3.74208031384617	5.53610458053871	0.000317925688855844	0.0441020886928684	0.639092643610314	ENSG00000165046	Upregulated in COVID
-2.11912628308267	4.0307480399585	-5.53092798050945	0.000320116880520834	0.0441020886928684	0.632871002725001	ENSG00000138767	Downregulated in COVID
-1.6795875685903	5.30948582317719	-5.49446513614062	0.000336020564389074	0.0442930016135133	0.626109307203254	ENSG00000163947	Downregulated in COVID
-1.98203092376381	4.59170766511993	-5.48391785922066	0.000340778313459729	0.0442930016135133	0.617387500984768	ENSG00000108061	Downregulated in COVID
-1.84833981709842	4.34620335919894	-5.48419953961577	0.000340650310621893	0.0442930016135133	0.611346114653566	ENSG00000160654	Downregulated in COVID
2.09564600813902	3.54715509036998	5.52932031310793	0.000320800698848141	0.0441020886928684	0.589188464342008	ENSG00000156381	Upregulated in COVID
2.49563857950401	6.12559209012779	5.46958475885927	0.000347360628403394	0.0442930016135133	0.573379521215191	ENSG00000005961	Upregulated in COVID
-0.992409557526445	6.83248922127467	-5.48748474331742	0.000339161253038203	0.0442930016135133	0.571796505212602	ENSG00000131051	Significant
-1.48006173051815	5.0904723264588	-5.44884435725051	0.000357129372767146	0.0442930016135133	0.571073588392508	ENSG00000163682	Downregulated in COVID
-1.77367333538023	4.73204078850507	-5.43686495119646	0.00036290633587903	0.0442930016135133	0.561680298624856	ENSG00000111371	Downregulated in COVID
-1.76855704856028	4.69417563788164	-5.42702134079305	0.000367728755518138	0.0442930016135133	0.549188371039166	ENSG00000169967	Downregulated in COVID
1.78829868801711	3.88687818301068	5.44618486768578	0.000358403270779743	0.0442930016135133	0.547341746670901	ENSG00000187017	Upregulated in COVID
-2.97067933292488	3.65421348330998	-5.59474484762581	0.000294203526246298	0.042540717294934	0.537899142789032	ENSG00000100079	Downregulated in COVID
1.09198926743108	7.37663099420468	5.45670759415814	0.000353391350508035	0.0442930016135133	0.528191561258865	ENSG00000198952	Upregulated in COVID
1.93566324670228	3.78785907948106	5.42719833858467	0.000367641436222125	0.0442930016135133	0.511853010244524	ENSG00000171611	Upregulated in COVID
-1.482591386219	5.74983350525822	-5.41653553780892	0.000372941887061209	0.0442930016135133	0.508616612040335	ENSG00000005020	Downregulated in COVID
-3.27321707998126	3.66864863853815	-5.6965745106151	0.000257428676782045	0.042540717294934	0.505531719681009	ENSG00000110422	Downregulated in COVID
1.71403690680337	4.95467623711388	5.39478825872687	0.000384009511242727	0.0446380289461308	0.50258029952999	ENSG00000108846	Upregulated in COVID
-1.75178431871	3.8231481315758	-5.42621599015241	0.000368126346006741	0.0442930016135133	0.501844989395129	ENSG00000067064	Downregulated in COVID
1.21245924323682	5.81560948440313	5.41447268766938	0.000373976803475646	0.0442930016135133	0.492720843201279	ENSG00000124587	Upregulated in COVID
-1.46234474906544	6.52267348728908	-5.41622336334196	0.000373098304190596	0.0442930016135133	0.486287651231033	ENSG00000148175	Downregulated in COVID
-1.29171296672593	7.25763094474359	-5.41498134223788	0.000373721328047431	0.0442930016135133	0.474532817636203	ENSG00000146278	Downregulated in COVID
1.4901757061383	5.70977183657255	5.39381360750035	0.000384513748957413	0.0446380289461308	0.472114052543382	ENSG00000163737	Upregulated in COVID
-2.19739361280956	4.90650943347027	-5.3653555833323	0.000399555708842866	0.0450397725127509	0.471218367446657	ENSG00000198961	Downregulated in COVID
1.03368789816548	6.16250969301434	5.38582597334394	0.000388673155839783	0.0447866637943975	0.442535696675644	ENSG00000171159	Upregulated in COVID
1.80286495808606	6.05836674331255	5.37661953856476	0.000393527470397659	0.0450125980110734	0.441916846532645	ENSG00000019169	Upregulated in COVID
-2.04466798511826	4.24068513282686	-5.33933852862371	0.000413863211561751	0.0452273391779928	0.425492229331926	ENSG00000134294	Downregulated in COVID
-1.81667697459978	4.85706550205415	-5.31416286796526	0.000428234635878349	0.0452273391779928	0.40481733665132	ENSG00000153922	Downregulated in COVID
2.05780174726854	4.43156116544008	5.30351520686318	0.00043447373578001	0.0452273391779928	0.391971030998057	ENSG00000149564	Upregulated in COVID
-1.33214157186112	4.29540887428181	-5.30368397982927	0.000434374081598699	0.0452273391779928	0.390831890079512	ENSG00000171867	Downregulated in COVID
2.09190234878181	3.21708652880203	5.41076043809726	0.000375847018062726	0.0442930016135133	0.38132284100594	ENSG00000273802	Upregulated in COVID
-1.62007330515319	4.59673821742054	-5.29365094147017	0.000440341205879168	0.0452273391779928	0.380030938235165	ENSG00000163320	Downregulated in COVID
-1.1710359569311	6.46594039699815	-5.33819364267079	0.000414505364855581	0.0452273391779928	0.379383075072516	ENSG00000125304	Downregulated in COVID
-1.60042602531795	4.92431016147047	-5.28619876767944	0.000444830476615641	0.0452273391779928	0.366151762442535	ENSG00000119541	Downregulated in COVID
-2.05627045658595	3.67632166997651	-5.33581612444694	0.000415842318621719	0.0452273391779928	0.36079371250985	ENSG00000111790	Downregulated in COVID
-1.52365621714484	4.03336261165733	-5.28696241791877	0.000444368187268155	0.0452273391779928	0.358118822422155	ENSG00000164300	Downregulated in COVID
-2.1499039116903	6.75423015834493	-5.30682072612038	0.000432526422027671	0.0452273391779928	0.343985758820727	ENSG00000188906	Downregulated in COVID
-1.49163762849564	4.65492804696495	-5.25395332018397	0.000464831260912963	0.045955484854597	0.32833636149179	ENSG00000055609	Downregulated in COVID
1.11035680918454	8.14414775408615	5.30158443824554	0.000435615536572764	0.0452273391779928	0.324338703206593	ENSG00000161638	Upregulated in COVID
1.56896394354739	4.56973539439008	5.25089988760773	0.000466774775720239	0.045955484854597	0.323716205486396	ENSG00000203999	Upregulated in COVID
-2.08786629650431	3.68509284160595	-5.30251703113349	0.000435063625164434	0.0452273391779928	0.322459071628571	ENSG00000123091	Downregulated in COVID
0.989658636947938	6.67648502964978	5.29170136484864	0.000441510921019031	0.0452273391779928	0.306572779418807	ENSG00000227039	Significant
-1.34650342799923	4.65478838217657	-5.23716525501421	0.000475625678939966	0.045955484854597	0.306161936882145	ENSG00000112624	Downregulated in COVID
-1.97381028802747	5.05134825984031	-5.21493813874886	0.000490334233049808	0.0470841933908815	0.273322742109174	ENSG00000136560	Downregulated in COVID
-2.24607679434759	6.22587581590386	-5.24092161430611	0.000473187192669723	0.045955484854597	0.271767371578934	ENSG00000135535	Downregulated in COVID
1.02096581649019	6.95699875650524	5.26422903241325	0.0004583544681688	0.0457595803288269	0.267993674852265	ENSG00000125912	Upregulated in COVID
1.19065880943518	7.2146256723529	5.26337330478128	0.000458890108723129	0.0457595803288269	0.267454556543617	ENSG00000204310	Upregulated in COVID
2.1303356687214	3.37599101491848	5.26585049332633	0.000457341363687256	0.0457595803288269	0.25376092019917	ENSG00000137801	Upregulated in COVID
-2.66302514159752	3.65866881844164	-5.2937507365414	0.000440281420255783	0.0452273391779928	0.231911220663381	ENSG00000106799	Downregulated in COVID
-1.5782527072832	3.94797240703621	-5.14603677158256	0.000539124315001493	0.049331020538314	0.177462555787715	ENSG00000166928	Downregulated in COVID
